coverage,accuracy_shifted
0.1682,1.0000
0.1688,1.0000
0.1693,1.0000
0.1698,1.0000
0.1704,1.0000
0.1709,1.0000
0.1714,1.0000
0.1719,1.0000
0.1725,1.0000
0.1730,1.0000
0.1735,1.0000
0.1741,1.0000
0.1746,1.0000
0.1751,1.0000
0.1756,1.0000
0.1762,1.0000
0.1767,1.0000
0.1772,1.0000
0.1777,1.0000
0.1783,1.0000
0.1788,1.0000
0.1793,1.0000
0.1799,1.0000
0.1804,1.0000
0.1809,1.0000
0.1814,1.0000
0.1820,1.0000
0.1825,1.0000
0.1830,1.0000
0.1835,1.0000
0.1841,1.0000
0.1846,1.0000
0.1851,1.0000
0.1857,1.0000
0.1862,1.0000
0.1867,1.0000
0.1872,1.0000
0.1878,1.0000
0.1883,1.0000
0.1888,1.0000
0.1893,1.0000
0.1899,1.0000
0.1904,1.0000
0.1909,1.0000
0.1915,1.0000
0.1920,1.0000
0.1925,1.0000
0.1930,1.0000
0.1936,1.0000
0.1941,1.0000
0.1946,1.0000
0.1951,1.0000
0.1957,1.0000
0.1962,1.0000
0.1967,1.0000
0.1973,1.0000
0.1978,1.0000
0.1983,1.0000
0.1988,1.0000
0.1994,1.0000
0.1999,1.0000
0.2004,1.0000
0.2009,1.0000
0.2015,1.0000
0.2020,1.0000
0.2025,1.0000
0.2031,1.0000
0.2036,1.0000
0.2041,1.0000
0.2046,1.0000
0.2052,1.0000
0.2057,1.0000
0.2062,1.0000
0.2068,1.0000
0.2073,1.0000
0.2078,1.0000
0.2083,1.0000
0.2089,1.0000
0.2094,1.0000
0.2099,1.0000
0.2104,1.0000
0.2110,1.0000
0.2115,1.0000
0.2120,1.0000
0.2126,1.0000
0.2131,1.0000
0.2136,1.0000
0.2141,1.0000
0.2147,1.0000
0.2152,1.0000
0.2157,1.0000
0.2162,1.0000
0.2168,1.0000
0.2173,1.0000
0.2178,1.0000
0.2184,1.0000
0.2189,1.0000
0.2194,1.0000
0.2199,1.0000
0.2205,1.0000
0.2210,1.0000
0.2215,1.0000
0.2220,1.0000
0.2226,1.0000
0.2231,1.0000
0.2236,1.0000
0.2242,1.0000
0.2247,1.0000
0.2252,1.0000
0.2257,1.0000
0.2263,1.0000
0.2268,1.0000
0.2273,1.0000
0.2278,1.0000
0.2284,1.0000
0.2289,1.0000
0.2294,1.0000
0.2300,1.0000
0.2305,1.0000
0.2310,1.0000
0.2315,1.0000
0.2321,1.0000
0.2326,1.0000
0.2331,1.0000
0.2336,1.0000
0.2342,1.0000
0.2347,1.0000
0.2352,1.0000
0.2358,1.0000
0.2363,1.0000
0.2368,1.0000
0.2373,1.0000
0.2379,1.0000
0.2384,1.0000
0.2389,1.0000
0.2395,1.0000
0.2400,1.0000
0.2405,1.0000
0.2410,1.0000
0.2416,1.0000
0.2421,1.0000
0.2426,1.0000
0.2431,1.0000
0.2437,1.0000
0.2442,1.0000
0.2447,1.0000
0.2453,1.0000
0.2458,1.0000
0.2463,1.0000
0.2468,1.0000
0.2474,1.0000
0.2479,1.0000
0.2484,1.0000
0.2489,1.0000
0.2495,1.0000
0.2500,1.0000
0.2505,1.0000
0.2511,1.0000
0.2516,1.0000
0.2521,1.0000
0.2526,1.0000
0.2532,1.0000
0.2537,1.0000
0.2542,1.0000
0.2547,1.0000
0.2553,1.0000
0.2558,1.0000
0.2563,1.0000
0.2569,1.0000
0.2574,1.0000
0.2579,1.0000
0.2584,1.0000
0.2590,1.0000
0.2595,1.0000
0.2600,1.0000
0.2605,1.0000
0.2611,1.0000
0.2616,1.0000
0.2621,1.0000
0.2627,1.0000
0.2632,1.0000
0.2637,1.0000
0.2642,1.0000
0.2648,1.0000
0.2653,1.0000
0.2658,1.0000
0.2664,1.0000
0.2669,1.0000
0.2674,1.0000
0.2679,1.0000
0.2685,1.0000
0.2690,1.0000
0.2695,1.0000
0.2700,1.0000
0.2706,1.0000
0.2711,1.0000
0.2716,1.0000
0.2722,1.0000
0.2727,1.0000
0.2732,1.0000
0.2737,1.0000
0.2743,1.0000
0.2748,1.0000
0.2753,1.0000
0.2758,1.0000
0.2764,1.0000
0.2769,1.0000
0.2774,1.0000
0.2780,1.0000
0.2785,1.0000
0.2790,1.0000
0.2795,1.0000
0.2801,1.0000
0.2806,1.0000
0.2811,1.0000
0.2816,1.0000
0.2822,1.0000
0.2827,1.0000
0.2832,1.0000
0.2838,1.0000
0.2843,1.0000
0.2848,1.0000
0.2853,1.0000
0.2859,1.0000
0.2864,1.0000
0.2869,1.0000
0.2874,1.0000
0.2880,1.0000
0.2885,1.0000
0.2890,1.0000
0.2896,1.0000
